Model,Steel family,r2_score,Mean Absolute Error,Mean Squared Error
regular,CMn,0.680702722979975,0.1413509209733124,0.0413685491110782
regular,IF,0.6257731154091153,0.2078800420679082,0.0760883950897724
regular,HSLA,0.7864367765401682,0.0940685856460303,0.0190567517755392
regular_no_model_output,CMn,0.5527883780356793,0.1661333738756599,0.0579412894433036
regular_no_model_output,IF,0.4664154037023807,0.2502167006738179,0.1084892541092941
regular_no_model_output,HSLA,0.7282627882178392,0.1081920137994697,0.0242477544083509
enhanced,CMn,0.6015420712633497,0.1482688290111933,0.0516247008038432
enhanced,IF,0.5641544647739029,0.2244289106545656,0.0886167954465673
enhanced,HSLA,0.751633932055123,0.1032001741692975,0.0221622919415357
enhanced_no_model_output,CMn,0.4808192962088889,0.1769488556433425,0.0672656924692776
enhanced_no_model_output,IF,0.4364414263255007,0.2565716838441663,0.1145836100387384
enhanced_no_model_output,HSLA,0.6675887335773407,0.1149733502037943,0.029661843874541
common layer,CMn,0.6605299024573678,0.1427179354409388,0.0439821646241416
common layer,IF,0.6323461755238283,0.2065614155115209,0.0747519502335888
common layer,HSLA,0.7810547516739592,0.0982591255617218,0.0195370025896238
common_no_model_output,CMn,0.5665714298136568,0.1603870910072209,0.0561555402515182
common_no_model_output,IF,0.4698861033113448,0.2485470471918374,0.1077835860401133
common_no_model_output,HSLA,0.717406354084442,0.1108435274357992,0.0252164997152251
RFRegressor,CMn,0.7363546546810392,0.1309867161958082,0.0341582161850086
RFRegressor,IF,0.6655231008441108,0.2031622529843135,0.0680063659221002
RFRegressor,HSLA,0.7800756981077155,0.0971295379177806,0.0196243658560355
RF_no_model_output,CMn,0.6607347578705376,0.1439555204932761,0.0439556233040919
RF_no_model_output,IF,0.4981966257860716,0.2428050259789951,0.1020274463613465
RF_no_model_output,HSLA,0.745014701071617,0.1063470187229345,0.0227529415850187
