Model,Steel family,r2_score,Mean Absolute Error,Mean Squared Error
regular,CMn,0.680702722979975,0.1413509209733124,0.0413685491110782
regular,IF,0.6257731154091153,0.2078800420679082,0.0760883950897724
regular,HSLA,0.7864367765401682,0.0940685856460303,0.0190567517755392
regular_no_model_output,CMn,0.5527883780356793,0.1661333738756599,0.0579412894433036
regular_no_model_output,IF,0.4664154037023807,0.2502167006738179,0.1084892541092941
regular_no_model_output,HSLA,0.7282627882178392,0.1081920137994697,0.0242477544083509
enhanced,CMn,0.6015420712633497,0.1482688290111933,0.0516247008038432
enhanced,IF,0.5641544647739029,0.2244289106545656,0.0886167954465673
enhanced,HSLA,0.751633932055123,0.1032001741692975,0.0221622919415357
enhanced_no_model_output,CMn,0.4808192962088889,0.1769488556433425,0.0672656924692776
enhanced_no_model_output,IF,0.4364414263255007,0.2565716838441663,0.1145836100387384
enhanced_no_model_output,HSLA,0.6675887335773407,0.1149733502037943,0.029661843874541
